# generated_at,2026-07-28T07:16:26+00:00
post_type,label,total,rebuilt,import_remnant,empty,needs_review
case-study,"Case Studies",156,156,0,0,0
faq,FAQ,60,60,0,0,0
guide,"Guides & Research",22,22,0,0,0
infographic,Infographics,15,15,0,0,0
page,Pages,28,19,0,9,0
people,People,127,8,0,114,5
post,Posts,542,542,0,0,0
press-article,Newsroom,64,64,0,0,0
product,Products,19,14,0,5,0
solutions,Solutions,105,98,7,0,0
webinar,Webinars,149,149,0,0,0
whitepaper,Whitepapers,67,67,0,0,0
